T0,thalf,KD
2.428953562,16.89904187,0.005240392
496.8681613,0.071908823,0.115196559
55.77321815,200.5022293,15.34475051
297.7612207,0.964481474,1.273995383
4.025240628,5.086235458,0.005433574
0.003272103,24.80470766,8.926106577
0.148833191,1.081542273,1.250556422
19.99766279,0.077996767,34.18530152
718.0942724,0.140881341,7.093606842
0.215653995,0.195215341,0.001015142
3.56854927,0.052041852,2.505695628
87.66836733,0.502655397,1.16593686
6.329541888,10.62203939,0.003602709
0.299977174,0.159932502,0.404092691
0.086249616,279.7465692,0.961062125
117.1952885,4.034845117,2.383441395
182.5178291,0.396011396,564.7935982
0.251775774,0.054094797,0.271365495
0.883195896,0.034344017,0.025459973
120.7601716,1.29853145,572.0515697
0.17684473,169.8229432,17.70600861
0.163783498,0.23433722,523.8519965
1.094361158,1.170194952,37.72002387
0.038849507,0.348455099,2.431394408
0.882112225,3.876067859,12.15357301
0.012723001,2.236004573,127.4673145
240.8029486,2.166080042,0.163027439
0.003007643,0.45935321,254.4478287
124.9777421,0.197326397,3.251649139
3.50297157,52.07140848,281.2429922
6.345983214,13.15852455,0.494514094
264.7604041,2.852446857,0.974745047
573.0669479,231.1212506,65.07260928
88.41162757,0.221302878,2.167740423
0.079232903,0.125867229,0.004926506
173.3461071,23.56578695,1.811871911
0.001597706,0.247295885,55.82402928
17.65085542,69.73961647,0.205340009
1.442124203,0.920911022,0.028060161
0.092344534,0.040496127,0.278785941
9.265444991,0.058220695,0.00369395
468.7942859,1.742207867,91.20399453
1.37311579,40.90238333,690.821508
0.402988859,261.1433902,0.005943823
0.46958717,60.21951869,0.12714897
27.10288958,102.1617846,6.534943489
2.309002328,1.731441788,0.462601115
0.023699536,88.48143483,129.7939967
0.063589794,208.831972,0.01059979
228.7603967,1.768505094,8.587840689
0.054575987,0.334851411,0.001674971
0.117799039,80.79990428,2.237352495
0.028312587,8.861761535,501.6582014
0.902153435,0.05998439,0.193672335
60.01621918,191.780758,0.042943341
0.001892569,0.334378504,115.8151749
0.004942237,64.48248069,248.0409772
0.325532583,22.61470251,0.104585736
0.206063869,0.068000808,0.986893836
1.243163705,8.434878995,169.1142658
0.064620574,165.0007756,2.75756387
0.033929556,0.467999153,2.842213927
16.51743519,3.620381006,0.004515672
0.044170373,1.312295569,0.009781088
0.017252972,50.44672548,0.001538003
1.480200627,54.76162015,10.90087027
340.1417897,0.026981738,0.031983285
0.008946399,0.076975145,1.183806171
0.028793657,4.394739055,580.9875948
822.9736187,1.023797029,0.123831274
0.070716902,0.074571221,0.014133336
